English-BattleFieldVN01-1  BATTLEFIELD VIETNAM  ; xxx 
English-BattleFieldVN06-218  THE COMMAND CENTERS  ; xxx 
English-BattleFieldVN06-219  The Vietcong attack on the American Embassy...  ; xxx 
English-BattleFieldVN06-220  and most other targets in Saigon city center had been launched...  ; xxx 
English-BattleFieldVN06-221  ...by the elite sapper commandos of the C-10 battalion.  ; xxx 
English-BattleFieldVN06-222  The plan was that a follow up force of 4,000 would arrive quickly.  ; xxx 
English-BattleFieldVN06-223  But time and time again the main battalions had been bogged down...  ; xxx 
English-BattleFieldVN06-224  ...in firefights and house to house battles.  ; xxx 
English-BattleFieldVN06-225  One of the sharpest clashes yet...  ; xxx 
English-BattleFieldVN06-226  ...had happened near an American Officers Quarters.  ; xxx 
English-BattleFieldVN06-227  The battle had quickly drawn in Military Police...  ; xxx 
English-BattleFieldVN06-228  ...and any other U.S. personnel that could grab a weapon.  ; xxx 
English-BattleFieldVN06-229  During the night, a truck carrying 25 American Military Policemen to the fight  ; xxx 
English-BattleFieldVN06-230  ...was hit by a VC rocket head on and subsequent machine gun fire...  ; xxx 
English-BattleFieldVN06-231  ...killed 16 Americans in a narrow street.  ; xxx 
English-BattleFieldVN06-232  Relief attempts had developed into a furious engagement...  ; xxx 
English-BattleFieldVN06-233  ...which would go on for 12 hours.  ; xxx 
English-BattleFieldVN06-234  Only a few miles away, Tan Son Nhut airbase...  ; xxx 
English-BattleFieldVN06-235  ...was one of the most important centers of American power in Vietnam.  ; xxx 
English-BattleFieldVN06-236  The defenders of Tan Son Nhut were a squadron of US Air Force police  ; xxx 
English-BattleFieldVN06-237  ...two platoons of Army headquarters guards...  ; xxx 
English-BattleFieldVN06-238  and the only two companies of South Vietnamese Army airborne troops...  ; xxx 
English-BattleFieldVN06-239  ...not yet committed to battle elsewhere in the city.  ; xxx 
English-BattleFieldVN06-240  On the perimeter of Tan Son Nhut the Vietcong had seized...  ; xxx 
English-BattleFieldVN06-241  several key buildings as springboards for their main assault...  ; xxx 
English-BattleFieldVN06-242  ...and attacked the compound containing the villas of Senior Officers...  ; xxx 
English-BattleFieldVN06-243  ...of the South Vietnamese General Staff.  ; xxx 
English-BattleFieldVN06-244  The guerrillas meant to hit the base from three sides...  ; xxx 
English-BattleFieldVN06-245  ...with more than 1,000 troops.  ; xxx 
English-BattleFieldVN06-246  A large textiles plant was occupied...  ; xxx 
English-BattleFieldVN06-247  ...as the base for their heavy machine guns and rockets.  ; xxx 
English-BattleFieldVN06-248  Only the arrival of an armored reconnaissance unit of the 25th Infantry division...  ; xxx 
English-BattleFieldVN06-249  ...that had raced to the scene from its base 15 miles away, saved Tan Son Nhut.  ; xxx 
English-BattleFieldVN06-250  The tanks and APC's hit the attackers from behind...  ; xxx 
English-BattleFieldVN06-251  ...and in furious fighting had split the Vietcong force.  ; xxx 
English-BattleFieldVN06-252  In the hours that followed the guerrillas were hammered...  ; xxx 
English-BattleFieldVN06-253  ...by American helicopter gunships and fighter-bombers.  ; xxx 
English-BattleFieldVN06-254  The attack on Tan Son Nhut was soon completely broken.  ; xxx 
English-BattleFieldVN06-255  15 miles North of Saigon, was the massive...  ; xxx 
English-BattleFieldVN06-256  American logistical complex at Long Binh.  ; xxx 
English-BattleFieldVN06-257  Nearby was the US base at Bien Hoa  ; xxx 
English-BattleFieldVN06-258  and between them, the headquarters of II Field Force and 3 Corps...  ; xxx 
English-BattleFieldVN06-259  from which the American and South Vietnamese battles in the Saigon Area...  ; xxx 
English-BattleFieldVN06-260  ...were being coordinated.  ; xxx 
English-BattleFieldVN06-261  The main attacking forces were two full regiments of the Vietcong 5th Division.  ; xxx 
English-BattleFieldVN06-262  After a heavy rocket and mortar barrage, the 275th assaulted...  ; xxx 
English-BattleFieldVN06-263  Long Binh from the North side while...  ; xxx 
English-BattleFieldVN06-264  ...a local force battalion mounted a diversionary raid  ; xxx 
English-BattleFieldVN06-265  ...and sappers blew up part of a massive ammunition dump outside the main complex.  ; xxx 
English-BattleFieldVN06-266  At the same time the 274th hit Bien Hoa...  ; xxx 
English-BattleFieldVN06-267  ...and a local battalion tried to seize 3 Corps headquarters.  ; xxx 
English-BattleFieldVN06-268  The American 199th light infantry brigade defending Long Binh...  ; xxx 
English-BattleFieldVN06-269  ...was attacked by a mechanized reserve...  ; xxx 
English-BattleFieldVN06-270  ...which hit the flank of the Vietcong attacking Bien Hoa.  ; xxx 
English-BattleFieldVN06-271  A unit of the 101st Airborne Division was airlifted in...  ; xxx 
English-BattleFieldVN06-272  ...while helicopter gunships and more mechanized units...  ; xxx 
English-BattleFieldVN06-273  ...joined the day long battle  ; xxx 
English-BattleFieldVN06-274  eventually driving the Vietcong away from all their objectives.  ; xxx 
English-BattleFieldVN06-275  For American commanders faced with the huge scale...  ; xxx 
English-BattleFieldVN06-276  ...of the Vietcong assault in and around Saigon  ; xxx 
English-BattleFieldVN06-277  Tet had been an extraordinary test of nerve.  ; xxx 
English-BattleFieldVN06-278  It had seemed as if the enemy was everywhere at once.  ; xxx 
English-BattleFieldVN06-279  Throughout the day, General Weyand had been directing the American battle...  ; xxx 
English-BattleFieldVN06-280  ...even as his own headquarters at Long Binh was under attack.  ; xxx 
English-BattleFieldVN06-281  In the first two hours of the Tet offensive Weyand had deployed...  ; xxx 
English-BattleFieldVN06-282  5,000 airborne and armored reinforcements  ; xxx 
English-BattleFieldVN06-283  more than 500 Armored Personnel Carriers...  ; xxx 
English-BattleFieldVN06-284  ...mounting their deadly 50 caliber machine guns had been sent into combat.  ; xxx 
English-BattleFieldVN06-285  So far all the main Vietcong assaults had been at least contained.  ; xxx 
English-BattleFieldVN06-286  But no one doubted there was still hard fighting ahead.  ; xxx 
English-BattleFieldVN06-287  “How would you assess the enemy's purposes of yesterday today?”  ; xxx 
English-BattleFieldVN06-288  “The enemy, very deceitfully, has taken advantage of the Tet truce...  ; xxx 
English-BattleFieldVN06-289  ...in order to...  create... maximum consternation...  ; xxx 
English-BattleFieldVN06-290  within South Vietnam particularly in the populated areas.  ; xxx 
English-BattleFieldVN06-291  In spite of the temptation to throw everything he had...  ; xxx 
English-BattleFieldVN06-292  ...into the battle against the guerrillas  ; xxx 
English-BattleFieldVN06-293  General Westmoreland was determined to hold back.  ; xxx 
English-BattleFieldVN06-294  He was still convinced that the Tet attacks were a diversion from the main effort...  ; xxx 
English-BattleFieldVN06-295  ...which he expected to come in the Northern border areas.  ; xxx 
English-BattleFieldVN06-296  He was deeply reluctant to commit his most mobile forces to street battles.  ; xxx 
English-BattleFieldVN06-297  By now, Westmoreland knew that the Vietcong attacks...  ; xxx 
English-BattleFieldVN06-298  were being countered successfully all over the country  ; xxx 
English-BattleFieldVN06-299  but at a great cost to American lives.  ; xxx 
English-BattleFieldVN06-300  The South Vietnamese Army was standing up well.  ; xxx 
English-BattleFieldVN06-301  The next stage would be to defeat the guerrillas...  ; xxx 
English-BattleFieldVN06-302  town by town and battalion by battalion.  ; xxx 
English-BattleFieldVN06-303  In the far South of Vietnam in the heavily populated Mekong Delta  ; xxx 
English-BattleFieldVN06-304  the Tet offensive had seen Vietcong assaults...  ; xxx 
English-BattleFieldVN06-305  on nearly all of the 16 provincial capitals.  ; xxx 
English-BattleFieldVN06-306  Can Tho, the South Vietnamese Army IV Corp headquarters was also hit.  ; xxx 
English-BattleFieldVN06-307  Route 4 was cut in 62 places.  ; xxx 
English-BattleFieldVN06-308  In the Central and  Northern provinces, 11 cities, towns and bases  ; xxx 
English-BattleFieldVN06-309  including II Corps headquarters, had been attacked...  ; xxx 
English-BattleFieldVN06-310  ...in the premature offensive of January 30th.  ; xxx 
English-BattleFieldVN06-311  8 more had been hit the following night.  ; xxx 
English-BattleFieldVN06-312  All the major attacks would be repulsed within a week except in one city.  ; xxx 
English-BattleFieldVN06-313  The assault of the old Vietnamese imperial capital of Hue...  ; xxx 
English-BattleFieldVN06-314  would lead to the biggest and bloodiest battle of the whole Tet offensive.  ; xxx 
English-BattleFieldVN06-315  The city of Hue was the third largest in South Vietnam...  ; xxx 
English-BattleFieldVN06-316  ...and the ancient capital of its former emperors.  ; xxx 
English-BattleFieldVN06-317  It was split in two by the Perfumed River...  ; xxx 
English-BattleFieldVN06-318  ...over which ran key rail and road bridges.  ; xxx 
English-BattleFieldVN06-319  On the North side of the river was the Citadel, a walled city within the city  ; xxx 
English-BattleFieldVN06-320  surrounded by a maze of streets and originally the home of the emperor.  ; xxx 
English-BattleFieldVN06-321  Near the Citadel was the headquarters of the 1st South Vietnamese Army Division.  ; xxx 
English-BattleFieldVN06-322  On the other side of the river was the American Headquarters compound.  ; xxx 
English-BattleFieldVN06-323  The only South Vietnamese unit inside Hue...  ; xxx 
English-BattleFieldVN06-324  ...was the elite Black Panther Reconnaissance company.  ; xxx 
English-BattleFieldVN06-325  The assault on Hue was launched by two local Vietcong battalions  ; xxx 
English-BattleFieldVN06-326  elements of the 6th regiment of the 325th NVA Division  ; xxx 
English-BattleFieldVN06-327  and the 4th independent regiment.  ; xxx 
English-BattleFieldVN06-328  Within 24 hours Hue fell to 5,000 NVA troops  ; xxx 
English-BattleFieldVN06-329  who were quickly reinforced by a further 7,000.  ; xxx 
English-BattleFieldVN06-330  They instantly raised the North Vietnamese flag over the Citadel.  ; xxx 
English-BattleFieldVN06-331  Thousands of NVA troops ranged through the streets...  ; xxx 
English-BattleFieldVN06-332  ...mopping up pockets of resistance and most of Hue was quickly secured.  ; xxx 
English-BattleFieldVN06-333  The exceptions were small areas around...  ; xxx 
English-BattleFieldVN06-334  ...the American and South Vietnamese headquarters.  ; xxx 
English-BattleFieldVN06-335  There the defenders held out and had been reinforced by small units...  ; xxx 
English-BattleFieldVN06-336  ...rushed in from outside the city.  ; xxx 
English-BattleFieldVN06-337  The U.S. Marines and South Vietnamese troops that had come to the aid...  ; xxx 
English-BattleFieldVN06-338  ...of their beleaguered headquarters...  ; xxx 
English-BattleFieldVN06-339  ...had run a gauntlet of NVA forces to get into the city.  ; xxx 
English-BattleFieldVN06-340  Bigger units were battling to follow them...  ; xxx 
English-BattleFieldVN06-341  but it would be days before they would get inside Hue in any strength.  ; xxx 
English-BattleFieldVN06-342  Meantime it was clear that the North Vietnamese Army meant to remain  ; xxx 
English-BattleFieldVN06-343  and would not be dislodged without a major battle.  ; xxx 
English-BattleFieldVN06-344  THE TIDE TURNS  ; xxx 
English-BattleFieldVN06-345  By the second day of the Tet offensive it was clear to Vietcong commanders  ; xxx 
English-BattleFieldVN06-346  ...that the attacks in Saigon were in trouble.  ; xxx 
English-BattleFieldVN06-347  The assault teams had been driven out of most of their main objectives.  ; xxx 
English-BattleFieldVN06-348  The promised reinforcements had rarely arrived...  ; xxx 
English-BattleFieldVN06-349  ...and even nearby units had often failed to support each other.  ; xxx 
English-BattleFieldVN06-350  Secrecy meant that they usually knew nothing of any orders but their own.  ; xxx 
English-BattleFieldVN06-351  The fight for Saigon had by now settled into a large number of separate battles...  ; xxx 
English-BattleFieldVN06-352  ...raging in different parts of the city.  ; xxx 
English-BattleFieldVN06-353  Often the Vietcong were completely surrounded by government forces.  ; xxx 
English-BattleFieldVN06-354  Isolated units now faced concentrated assaults...  ; xxx 
English-BattleFieldVN06-355  from armored vehicles planes and helicopters.  ; xxx 
English-BattleFieldVN06-356  In spite of the setbacks the Vietcong had succeeded...  ; xxx 
English-BattleFieldVN06-357  in winning control of huge areas of Saigon.  ; xxx 
English-BattleFieldVN06-358  To many Vietcong fighters it seemed that victory was at last in sight.  ; xxx 
English-BattleFieldVN06-359  They had been promised that the people of Saigon...  ; xxx 
English-BattleFieldVN06-360  ...would rise up to support them.  ; xxx 
English-BattleFieldVN06-361  If they did, the war could be won soon  ; xxx 
English-BattleFieldVN06-362  whatever happened on the battlefield.  ; xxx 
English-BattleFieldVN06-363  At the same time as the attacks on Saigon  ; xxx 
English-BattleFieldVN06-364  the Vietcong had launched powerful assaults on the surrounding towns.  ; xxx 
English-BattleFieldVN06-365  The headquarters of the 18th South Vietnamese Army Division was also hit.  ; xxx 
English-BattleFieldVN06-366  The headquarters had held out and the town had been retaken...  ; xxx 
English-BattleFieldVN06-367  ...after fierce fights by American South Vietnamese and Australian units.  ; xxx 
English-BattleFieldVN06-368  As part of an attempt to surround Saigon...  ; xxx 
English-BattleFieldVN06-369  ...and cut off the capital from reinforcements  ; xxx 
English-BattleFieldVN06-370  the Vietcong 273rd regiment launched a massive assault on the town of Thu Duc  ; xxx 
English-BattleFieldVN06-371  which contained one of the two South Vietnamese military academies.  ; xxx 
English-BattleFieldVN06-372  The regiment took heavy losses but the following day...  ; xxx 
English-BattleFieldVN06-373  ...it seized the Newport Bridge over the Saigon river.  ; xxx 
English-BattleFieldVN06-374  Together, South Vietnamese and American units...  ; xxx 
English-BattleFieldVN06-375  captured the bridge after a violent battle.  ; xxx 
English-BattleFieldVN06-376  At the high point of the Vietcong assault on Saigon  ; xxx 
English-BattleFieldVN06-377  the guerrillas occupied whole tracts of the West and South of the city.  ; xxx 
English-BattleFieldVN06-378  They used the Phu Tho racetrack as a major assembly area.  ; xxx 
English-BattleFieldVN06-379  The American 199th light infantry brigade launched an all out assault...  ; xxx 
English-BattleFieldVN06-380  on the racetrack buildings driving the Vietcong into the streets around.  ; xxx 
English-BattleFieldVN06-381  By the fourth day of the Tet battles the Vietcong were being squeezed...  ; xxx 
English-BattleFieldVN06-382  into the sprawling and crowded district of Cholon.  ; xxx 
English-BattleFieldVN06-383  The drive to clear the Vietcong from their last stronghold of Cholon  ; xxx 
English-BattleFieldVN06-384  and other parts of Saigon would last more than a month.  ; xxx 
English-BattleFieldVN06-385  Like the battles to clear residential districts all over South Vietnam...  ; xxx 
English-BattleFieldVN06-386  ...the fighting would be immensely costly in lives.  ; xxx 
English-BattleFieldVN06-387  Everywhere, instead of surrendering en masse,...  ; xxx 
English-BattleFieldVN06-388  the guerrillas were fighting back with determination and skill.  ; xxx 
English-BattleFieldVN06-389  Most Vietcong units committed to the Tet offensive...  ; xxx 
English-BattleFieldVN06-390  had made no plans for a possible retreat.  ; xxx 
English-BattleFieldVN06-391  The hopes of Vietcong leaders were now fading fast.  ; xxx 
English-BattleFieldVN06-392  They were forced to accept that the Tet offensive was failing.  ; xxx 
English-BattleFieldVN06-393  The South Vietnamese Army had been meant to collapse or even join the guerrillas  ; xxx 
English-BattleFieldVN06-394  but instead most of its units had bravely chosen to fight.  ; xxx 
English-BattleFieldVN06-395  According to General Giap, it was their skill and determination  ; xxx 
English-BattleFieldVN06-396  ...that largely blunted the North's Tet offensive.  ; xxx 
English-BattleFieldVN06-397  Even more disastrous, the uprising...  ; xxx 
English-BattleFieldVN06-398  that was supposed to have seen thousands of civilians...  ; xxx 
English-BattleFieldVN06-399  storming government buildings and proclaiming the revolution, had not happened.  ; xxx 
English-BattleFieldVN06-400  On February 17th 1968 the Vietcong launched...  ; xxx 
English-BattleFieldVN06-401  ...sudden mortar and rocket attacks all over South Vietnam.  ; xxx 
English-BattleFieldVN06-402  The attacks were no more than a symbolic gesture.  ; xxx 
English-BattleFieldVN06-403  A few days later, the Vietcong high command ordered its units...  ; xxx 
English-BattleFieldVN06-404  to pull back from the cities to regroup and refit the remaining forces.  ; xxx 
English-BattleFieldVN06-405  HUE  ; xxx 
English-BattleFieldVN06-406  When the Vietcong high command ordered its guerrilla units to withdraw from the cities...  ; xxx 
English-BattleFieldVN06-407  ...it made one clear exception:  ; xxx 
English-BattleFieldVN06-408  The city of Hue was not to be abandoned.  ; xxx 
English-BattleFieldVN06-409  Although South Vietnamese Army and American forces had launched...  ; xxx 
English-BattleFieldVN06-410  ...a determined counter assault Hue was too valuable a price to lose.  ; xxx 
English-BattleFieldVN06-411  By the fourth day of the Hue battle 1,000 more South Vietnamese Army troops  ; xxx 
English-BattleFieldVN06-412  ...had been airlifted to the city.  ; xxx 
English-BattleFieldVN06-413  The Americans had been reinforced by 1,200 Marines.  ; xxx 
English-BattleFieldVN06-414  Fierce assaults had been launched on the gates of the Citadel...  ; xxx 
English-BattleFieldVN06-415  and into the streets of the Southern city.  ; xxx 
English-BattleFieldVN06-416  By now the 12,000 NVA and NLF troops in and adjacent to Hue...  ; xxx 
English-BattleFieldVN06-417  ...had fortified almost every city block.  ; xxx 
English-BattleFieldVN06-418  The attackers were forced to advance down narrow streets...  ; xxx 
English-BattleFieldVN06-419  ...and through gardens fighting their way from house to house.  ; xxx 
English-BattleFieldVN06-420  Around every corner there were strong points bristling with heavy weapons.  ; xxx 
English-BattleFieldVN06-421  Any house or wall could conceal a heavily armed NVA assault group.  ; xxx 
English-BattleFieldVN06-422  At the start of the battle  ; xxx 
English-BattleFieldVN06-423  in the hope of saving the imperial city from complete destruction  ; xxx 
English-BattleFieldVN06-424  the South Vietnamese had insisted that the Americans not use artillery...  ; xxx 
English-BattleFieldVN06-425  or aircraft to destroy enemy fortifications.  ; xxx 
English-BattleFieldVN06-426  After five days of fierce and bloody fighting, most restrictions were lifted.  ; xxx 
English-BattleFieldVN06-427  Bombers and artillery support were called in to hit NVA strong points.  ; xxx 
English-BattleFieldVN06-428  Most devastating of all, the guns of American warships joined the battle.  ; xxx 
English-BattleFieldVN06-429  Directed by Marine spotters the ships fired thousands of shells...  ; xxx 
English-BattleFieldVN06-430  ...into the city from 14 miles away.  ; xxx 
English-BattleFieldVN06-431  Meanwhile in spite of frantic American efforts  ; xxx 
English-BattleFieldVN06-432  U.S. reinforcements West of the city...  ; xxx 
English-BattleFieldVN06-433  ...were still struggling to reach the battle zone.  ; xxx 
English-BattleFieldVN06-434  When the Tet offensive had begun it had caught the American 1st Air Cavalry division...  ; xxx 
English-BattleFieldVN06-435  ...in the middle of its redeployment from further South.  ; xxx 
English-BattleFieldVN06-436  The division was split with its headquarters and 3rd brigade at Camp Evans  ; xxx 
English-BattleFieldVN06-437  ...and its main logistical base at Phu Bai.  ; xxx 
English-BattleFieldVN06-438  When the North Vietnamese had begun their attack on Hue, they had cut highway 1...  ; xxx 
English-BattleFieldVN06-439  ...the vital road link between the Air Cavalry's fighting units...  ; xxx 
English-BattleFieldVN06-440  ...and its stocks of fuel and ammunition.  ; xxx 
English-BattleFieldVN06-441  Meanwhile, the NVA had a clear supply line running from the A Shau Valley...  ; xxx 
English-BattleFieldVN06-442  ...into Hue, and a ring of anti aircraft defenses around the city.  ; xxx 
English-BattleFieldVN06-443  The Air Cavalry could send only a single battalion to advance on Hue.  ; xxx 
English-BattleFieldVN06-444  It was dispatched without artillery support  ; xxx 
English-BattleFieldVN06-445  and with air cover impossible because of bad weather  ; xxx 
English-BattleFieldVN06-446  the battalion was cut off and only just escaped annihilation.  ; xxx 
English-BattleFieldVN06-447  It would take nearly three weeks for the 1st Cavalry division  ; xxx 
English-BattleFieldVN06-448  ...to assemble the men, fuel and ammunition it needed to start cutting...  ; xxx 
English-BattleFieldVN06-449  ...the North Vietnamese Army supply lines into Hue.  ; xxx 
English-BattleFieldVN06-450  By the twelfth day of the battle for Hue city  ; xxx 
English-BattleFieldVN06-451  South Vietnamese units had reoccupied parts of the Citadel.  ; xxx 
English-BattleFieldVN06-452  The Americans had almost cleared the city South of the river...  ; xxx 
English-BattleFieldVN06-453  ...and had been reinforced by 500 more Marines.  ; xxx 
English-BattleFieldVN06-454  The North Vietnamese still had open supply lines to the West  ; xxx 
English-BattleFieldVN06-455  and were able to launch aggressive counterattacks.  ; xxx 
English-BattleFieldVN06-456  But with the Marines now pressing into the old city  ; xxx 
English-BattleFieldVN06-457  the NVA position was deteriorating fast.  ; xxx 
English-BattleFieldVN06-458  To help defend the Citadel, the Truong Tien bridge across the Perfumed river  ; xxx 
English-BattleFieldVN06-459  ...had been blown up by a Vietcong demolition team.  ; xxx 
English-BattleFieldVN06-460  Supplies and reinforcements for the South Vietnamese Army and the U.S. Marines...  ; xxx 
English-BattleFieldVN06-461  ...fighting inside the Citadel had to be sent by landing craft.  ; xxx 
English-BattleFieldVN06-462  It was a hazardous journey.  ; xxx 
English-BattleFieldVN06-463  The boats had to skirt an enemy held area...  ; xxx 
English-BattleFieldVN06-464  ...and sail under the guns of NVA troops.  ; xxx 
English-BattleFieldVN06-465  During the following week, as the Americans and the South Vietnamese...  ; xxx 
English-BattleFieldVN06-466  ...blasted their way deeper into the city  ; xxx 
English-BattleFieldVN06-467  the sheer weight of their firepower began to tell on the NVA.  ; xxx 
English-BattleFieldVN06-468  Their commander asked for permission to pull out.  ; xxx 
English-BattleFieldVN06-469  But he was told he had to fight on.  ; xxx 
English-BattleFieldVN06-470  The battle continued through to the night of February 23rd  ; xxx 
English-BattleFieldVN06-471  with days and nights of savage fighting...  ; xxx 
English-BattleFieldVN06-472  ...before the NVA were finally driven from their last redoubt...  ; xxx 
English-BattleFieldVN06-473  ...in the Citadel's imperial palace  ; xxx 
English-BattleFieldVN06-474  and the Stars and Stripes was raised above it.  ; xxx 
English-BattleFieldVN06-475  Retaking Hue cost nearly 400 South Vietnamese Army...  ; xxx 
English-BattleFieldVN06-476  ...and more than 140 U.S. Marines lives.  ; xxx 
English-BattleFieldVN06-477  5,000 NVA and Vietcong died in the city...  ; xxx 
English-BattleFieldVN06-478  ...and a further 3,000 in the adjacent fighting.  ; xxx 
English-BattleFieldVN06-479  5,800 civilians were caught in the crossfire...  ; xxx 
English-BattleFieldVN06-480  ...or killed by NVA forces in the first days of the occupation.  ; xxx 
English-BattleFieldVN06-481  American firepower, bombs and artillery...  ; xxx 
English-BattleFieldVN06-482  ...had reduced 80% of the city to rubble.  ; xxx 
English-BattleFieldVN06-483  AFTERMATH  ; xxx 
English-BattleFieldVN06-484  By the end of the city battles 37,000 Vietcong troops...  ; xxx 
English-BattleFieldVN06-485  ...deployed for the Tet offensive had been killed.  ; xxx 
English-BattleFieldVN06-486  Many more had been wounded or captured, and the fighting had created...  ; xxx 
English-BattleFieldVN06-487  ...more than half a million civilian refugees.  ; xxx 
English-BattleFieldVN06-488  The casualties had included most of the Vietcong's best fighters...  ; xxx 
English-BattleFieldVN06-489  ...and many political officers and secret organizers.  ; xxx 
English-BattleFieldVN06-490  For the guerrillas it was nothing less than a catastrophe.  ; xxx 
English-BattleFieldVN06-491  But for the Americans who lost 2,500 men  ; xxx 
English-BattleFieldVN06-492  it would prove to be a most severe blow to public support.  ; xxx 
English-BattleFieldVN06-493  Vietcong leaders were now forced to claim that Tet...  ; xxx 
English-BattleFieldVN06-494  ...had always been intended as a series of offensives, not just one push.  ; xxx 
English-BattleFieldVN06-495  To keep up some kind of momentum two more waves of attacks were planned  ; xxx 
English-BattleFieldVN06-496  one for May and another for the following September.  ; xxx 
English-BattleFieldVN06-497  The guerrillas also meant to tighten their grip on the countryside...  ; xxx 
English-BattleFieldVN06-498  ...now mostly abandoned by government forces...  ; xxx 
English-BattleFieldVN06-499  ...drawn in to the city fighting.  ; xxx 
English-BattleFieldVN06-500  In the battles, the Americans had lost more than 2,500 men...  ; xxx 
English-BattleFieldVN06-501  and nearly 8,000 had been wounded.  ; xxx 
English-BattleFieldVN06-502  The South Vietnamese Army had suffered much worse.  ; xxx 
English-BattleFieldVN06-503  Its best units had been hit so hard...  ; xxx 
English-BattleFieldVN06-504  ...they would be useless for up to a year.  ; xxx 
English-BattleFieldVN06-505  Meantime American forces would spearhead follow up operations against the Vietcong.  ; xxx 
English-BattleFieldVN06-506  Starting March 11th 1968, massive Search and Destroy sweeps were launched...  ; xxx 
English-BattleFieldVN06-507  ...against the Vietcong remnants around Saigon and in other parts of the country.  ; xxx 
English-BattleFieldVN06-508  On March 16th one of these operations resulted in the now infamous massacre...  ; xxx 
English-BattleFieldVN06-509  ...by U.S. Charly company of over 200 civilians at the hamlet of My Lay.  ; xxx 
English-BattleFieldVN06-510  Altogether nearly 20,000 Americans and 9,000 South Vietnamese troops...  ; xxx 
English-BattleFieldVN06-511  ...rained throughout the Iron Triangle, Cu Chi district...  ; xxx 
English-BattleFieldVN06-512  ...and other long time Vietcong strongholds.  ; xxx 
English-BattleFieldVN06-513  In three weeks, possibly 3,500 Vietcong were killed  ; xxx 
English-BattleFieldVN06-514  and their ability to pose a serious threat to the capital...  ; xxx 
English-BattleFieldVN06-515  ...was delayed for the foreseeable future.  ; xxx 
English-BattleFieldVN06-516  The Tet battles had delivered a massive victory to American military leaders.  ; xxx 
English-BattleFieldVN06-517  What they wanted was an all out push to win the war  ; xxx 
English-BattleFieldVN06-518  including ground offensives into Laos and Cambodia.  ; xxx 
English-BattleFieldVN06-519  The Joint Chiefs of Staff asked for 2,600 extra men...  ; xxx 
English-BattleFieldVN06-520  ...half for Vietnam, the rest to boost the reserves.  ; xxx 
English-BattleFieldVN06-521  The answer from the White House was 'No'.  ; xxx 
English-BattleFieldVN06-522  Tet had changed everything.  ; xxx 
English-BattleFieldVN06-523  THE CROSSROADS  ; xxx 
English-BattleFieldVN06-524  To the American public already disillusioned with the war  ; xxx 
English-BattleFieldVN06-525  the Tet battles had come as a dreadful shock.  ; xxx 
English-BattleFieldVN06-526  If the communists were close to defeat  ; xxx 
English-BattleFieldVN06-527  as the president and the military had claimed so often  ; xxx 
English-BattleFieldVN06-528  how could they have launched a nationwide offensive on such a scale?  ; xxx 
English-BattleFieldVN06-529  By now, support for President Johnson's handling of the war...  ; xxx 
English-BattleFieldVN06-530  ...was at an all-time low.  ; xxx 
English-BattleFieldVN06-531  He faced a reelection battle in the fall, and inside his own party  ; xxx 
English-BattleFieldVN06-532  Eugene McCarthy and Robert Kennedy were opposing him on an anti-war platform.  ; xxx 
English-BattleFieldVN06-533  Even his own advisors especially Clark Clifford  ; xxx 
English-BattleFieldVN06-534  the new defense secretary were coming out against the war.  ; xxx 
English-BattleFieldVN06-535  The pressure on Johnson was overwhelming.  ; xxx 
English-BattleFieldVN06-536  On March 31st 1968 on national television  ; xxx 
English-BattleFieldVN06-537  the president announced a new American peace initiative  ; xxx 
English-BattleFieldVN06-538  He invited the North Vietnamese to negotiate and stated that...  ; xxx 
English-BattleFieldVN06-539  as a goodwill gesture, he was curtailing the bombing campaign against the North.  ; xxx 
English-BattleFieldVN06-540  He also made a dramatic announcement about his own future.  ; xxx 
English-BattleFieldVN06-541  “I shall not seek, and I will not accept...  ; xxx 
English-BattleFieldVN06-542  ...the nomination of my party for another term as your president.”  ; xxx 
English-BattleFieldVN06-543  Within days of the president's speech, Clark Clifford...  ; xxx 
English-BattleFieldVN06-544  ...ordered officials to start planning for a new American strategy in Vietnam.  ; xxx 
English-BattleFieldVN06-545  The South Vietnamese Army would be built up  ; xxx 
English-BattleFieldVN06-546  so it could gradually take over the fighting itself.  ; xxx 
English-BattleFieldVN06-547  Meanwhile, the US would work for a negotiated peace with the North.  ; xxx 
English-BattleFieldVN06-548  For the United States, it was the beginning of a new phase in the war.  ; xxx 
English-BattleFieldVN06-549  The start of a long and costly battle to disengage from Vietnam.  ; xxx 
English-BattleFieldVN07-1  BATTLEFIELD VIETNAM  ; xxx 
English-BattleFieldVN07-2  War on the DMZ  ; xxx 
English-BattleFieldVN07-3  In early 1968, United States Marines fought the North Vietnamese Army...  ; xxx 
English-BattleFieldVN07-4  in one of the most bitterly contested battles of the Vietnam War.  ; xxx 
English-BattleFieldVN07-5  For 77 days 20,000 NVA troops laid siege...  ; xxx 
English-BattleFieldVN07-6  ...to the Marine combat base at Khe Sanh.  ; xxx 
English-BattleFieldVN07-7  At stake was the control of the gateway to South Vietnam.  ; xxx 
English-BattleFieldVN07-8  The siege of Khe Sanh was the longest single battle of the Vietnam War.  ; xxx 
English-BattleFieldVN07-9  It was also one of the most violent.  ; xxx 
English-BattleFieldVN07-10  There were savage artillery duels  ; xxx 
English-BattleFieldVN07-11  mass infantry assaults and fierce hand to hand combat.  ; xxx 
English-BattleFieldVN07-12  Khe Sanh also saw the most concentrated tactical bombing campaign in history  ; xxx 
