Tiếng Anh Lớp 3(Tập 2) :: Welcome to Toomva.com::Chào _ ừng đến _ ới Toomva.com ; Chào mừng đến với Toomva.com
Tiếng Anh Lớp 3(Tập 2) :: Page 31: Activity 3: Listen and tick::_ rang 31: _ oạt độn_  3: Ng_ _  và tích ; Trang 31: Hoạt động 3: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1. What can you do? - I can draw, look at this - Oh what's a nice picture::1. Bạn _ _  thể l_ m gì vậy? - Tôi _ ó _ _ _  _ ẽ, _ hìn xem - Ồ, bức tranh đẹ_  q_ á ; 1. Bạn có thể làm gì vậy? - Tôi có thể vẽ, nhìn xem - Ồ, bức tranh đẹp quá
Tiếng Anh Lớp 3(Tập 2) :: 2. What can you do? - I can cycle - cycle? let's cycle together in the park::2. Bạn có _ hể làm gì vậy? - T_ _  có th_  đạ_  xe, đạ_  xe à? c_ ng đ_ p x_  ở cô_ g viên nào ; 2. Bạn có thể làm gì vậy? - Tôi có thể đạp xe, đạp xe à? cùng đạp xe ở công viên nào
Tiếng Anh Lớp 3(Tập 2) :: 3. How old are you? - I'm nine years old- what can you do?::3. Bạn bao _ hi_ u t_ ổi? - T_ i 9 _ uổi - Bạ_  có t_ ể làm _ ì? ; 3. Bạn bao nhiêu tuổi? - Tôi 9 tuổi - Bạn có thể làm gì?
Tiếng Anh Lớp 3(Tập 2) :: - I can skate - Oh really? - It's wonderful::_ ô_  _ ó th_  trượt ván - Ồ thật kh_ ng? - thích lắm ; Tôi có thể trượt ván - Ồ thật không? - thích lắm
Tiếng Anh Lớp 3(Tập 2) :: Page 32: Lesson 2: Activity 1: look, listen and repeat::Tr_ ng 32: B_ i 2: Hoạt độ_ g 1: N_ ìn, n_ he _ à nhắ_  l_ i ; Trang 32: Bài 2: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Can you play volleyball? - No I can't, but i can play football::_ . Bạn có _ _ ơ_  _ ược b_ _ _  _ hu_ ền khô_ g? – Không, như_ g _ ôi có th_  chơi được b_ ng đá ; A. Bạn có chơi được bóng chuyền không? – Không, nhưng tôi có thể chơi được bóng đá
Tiếng Anh Lớp 3(Tập 2) :: B. Let's play football! - Okay!::B. Cù_ g ch_ i _ óng đá _ _ ôi! – Được rồi! ; B. Cùng chơi bóng đá thôi! – Được rồi!
Tiếng Anh Lớp 3(Tập 2) :: C. Oh no!::C. Ôi _ hôn_ ! ; C. Ôi không!
Tiếng Anh Lớp 3(Tập 2) :: Page 32: Activity 2: Point and say::Trang 32: Hoạ_  _ ộn_  2: C_ ỉ _ à _ ó_  ; Trang 32: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: Can you play table tennis? - Yes i can::_ ạn _ ó chơi được _ óng bàn không? – Có t_ _  _ h_ _  được ; Bạn có chơi được bóng bàn không? – Có tôi chơi được
Tiếng Anh Lớp 3(Tập 2) :: Can you play volleyball? - No, I can't::Bạn có _ hơi _ ược b_ n_  chuyề_  kh_ _ g? – Không, _ ôi k_ ô_ _  _ hơi được ; Bạn có chơi được bóng chuyền không? – Không, tôi không chơi được
Tiếng Anh Lớp 3(Tập 2) :: Page 33: Activity 4: listen and number::Trang 33: Hoạt độ_ g 4: Nghe _ à đánh số ; Trang 33: Hoạt động 4: Nghe và đánh số
Tiếng Anh Lớp 3(Tập 2) :: 1. Can you play table tennis? - Yes i can, It's my favorite sport::1. _ ạn _ _  chơi được _ ó_ _  bàn khôn_ ? – Có tôi chơ_  đ_ ợc, đó là m_ n ưa _ híc_  của tôi ; 1. Bạn có chơi được bóng bàn không? – Có tôi chơi được, đó là môn ưa thích của tôi
Tiếng Anh Lớp 3(Tập 2) :: Let's play it together - Okay::_ hơi c_ ng nhau n_ é – Đư_ c thô_  ; Chơi cùng nhau nhé – Được thôi
Tiếng Anh Lớp 3(Tập 2) :: 2. Can you play the guitar? - No i can't::2. Cậu c_  chơi đ_ ợc guitar kh_ n_ ? – Không tô_  k_ ôn_  chơi _ _ ợ_  ; 2. Cậu có chơi được guitar không? – Không tôi không chơi được
Tiếng Anh Lớp 3(Tập 2) :: What about the piano, can you play the piano? - Yes i can!::C_ n pi_ _ o _ hì sao, bạn chơi _ ượ_  pi_ n_  không? – C_  t_ i chơ_  _ ược ; Còn piano thì sao, bạn chơi được piano không? – Có tôi chơi được
Tiếng Anh Lớp 3(Tập 2) :: 3. Let's play chess! -Sorry i can't::3. Cùng chơi cờ nào! – _ in lỗi tôi khô_ g b_ ết chơi ; 3. Cùng chơi cờ nào! – Xin lỗi tôi không biết chơi
Tiếng Anh Lớp 3(Tập 2) :: What about football, can you play football? - Yes i can::Còn _ ó_ g đ_  thì _ ao, bạn chơi đ_ ợc không? – _ ó _ ôi chơi đ_ _ c ; Còn bóng đá thì sao, bạn chơi được không? – Có tôi chơi được
Tiếng Anh Lớp 3(Tập 2) :: 4. Do you like music? - Yes I do::4. Bạn có thích _ m nh_ c _ hông? – Có tô_  rấ_  thích ; 4. Bạn có thích âm nhạc không? – Có tôi rất thích
Tiếng Anh Lớp 3(Tập 2) :: can you dance? - No i can't, I can't dance, but i can sing::B_ n có n_ ảy _ ư_ c khô_ g? – K_ ô_ g tôi không bi_ t nhảy, nhưng _ ôi _ iết hát _ ấy ; Bạn có nhảy được không? – Không tôi không biết nhảy, nhưng tôi biết hát đấy
Tiếng Anh Lớp 3(Tập 2) :: Page 33: Activity 6: Let's sing: Can you swim?::Trang 33: Hoạt đ_ ng 6: Cùng _ át _ ào: Bạn có biết bơi khôn_ ? ; Trang 33: Hoạt động 6: Cùng hát nào: Bạn có biết bơi không?
Tiếng Anh Lớp 3(Tập 2) :: Daddy daddy daddy daddy, can you swim? - Yes I can Yes i can i can swim::Bố ơi, bố ơ_ , b_  _ i, _ ố có biết bơi k_ _ ng? – _ ó chứ, _ _  chứ, bố biết _ ơi ; Bố ơi, bố ơi, bố ơi, bố có biết bơi không? – Có chứ, có chứ, bố biết bơi
Tiếng Anh Lớp 3(Tập 2) :: Mommy mommy mommy mommy, can you dance? - Yes i can, Yes i can I can dance::M_  ơi, mẹ ơi, _ ẹ ơi, mẹ c_  _ i_ t _ hảy khô_ g? – Có chứ, có c_ ứ mẹ biết _ h_ y ; Mẹ ơi, mẹ ơi, mẹ ơi, mẹ có biết nhảy không? – Có chứ, có chứ mẹ biết nhảy
Tiếng Anh Lớp 3(Tập 2) :: Baby baby baby baby, can you sing? - Yes i can, yes i can, i can sing::Em b_  ơi, em _ é _ _ , em _ é _ i, em có biết h_ t khôn_ ? – _ _  c_ ứ,. có chứ, em biế_  hát ; Em bé ơi, em bé ơi, em bé ơi, em có biết hát không? – Có chứ,. có chứ, em biết hát
Tiếng Anh Lớp 3(Tập 2) :: Page 34: Lesson 3: Activity 1: Listen and repeat::Tran_  34: _ ài 3: Hoạt độ_ g 1: Nghe và n_ ắc _ ại ; Trang 34: Bài 3: Hoạt động 1: Nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: S- Sing I can sing::S- _ ing tôi c_  th_  _ át ; S- Sing tôi có thể hát
Tiếng Anh Lớp 3(Tập 2) :: S- Swim I can't swim::_ - Sw_ _  Tôi khôn_  _ _ ết bơi ; S- Swim Tôi không biết bơi
Tiếng Anh Lớp 3(Tập 2) :: Page 34: Activity 2: Listen and number then say aloud::T_ _ ng 34: Ho_ _  đ_ ng 2: Nghe và đán_  số rồi đọc to ; Trang 34: Hoạt động 2: Nghe và đánh số rồi đọc to
Tiếng Anh Lớp 3(Tập 2) :: 1. Can you swim?::1. B_ n có b_ _ t _ ơi _ _ _ n_ ? ; 1. Bạn có biết bơi không?
Tiếng Anh Lớp 3(Tập 2) :: 2. Can you sit on the chair?::2. _ ạn có thể n_ ồ_  trê_  ghế _ hông? ; 2. Bạn có thể ngồi trên ghế không?
Tiếng Anh Lớp 3(Tập 2) :: 3. Can you swing?::3. Bạn có th_  đ_ nh đu không? ; 3. Bạn có thể đánh đu không?
Tiếng Anh Lớp 3(Tập 2) :: 4. Can you sing?::4. _ ạn có thể h_ t kh_ _ g? ; 4. Bạn có thể hát không?
Tiếng Anh Lớp 3(Tập 2) :: Page 34: Activity 3: Let's Chant: Can you Sing?::Tr_ ng 34: _ oạt động 3: Cù_ g đọc _ an_ : Bạn _ ó biết _ át không? ; Trang 34: Hoạt động 3: Cùng đọc vang: Bạn có biết hát không?
Tiếng Anh Lớp 3(Tập 2) :: One, two, three, four , Can you sing? - Yes i can, i can sing::1,2,3,4, _ ạn c_  t_ ể _ á_  khô_ g? – Có tô_  c_  _ _ ể, tôi biết _ át ; 1,2,3,4, bạn có thể hát không? – Có tôi có thể, tôi biết hát
Tiếng Anh Lớp 3(Tập 2) :: Can you swim? - No i can't, I can't swim::_ _ n có th_  b_ i k_ ô_ g? – Khôn_ , _ ôi không biế_  bơi ; Bạn có thể bơi không? – Không, tôi không biết bơi
Tiếng Anh Lớp 3(Tập 2) :: Can you swing? - No i can't, i can't swing::Bạn có _ _ ể đánh đu kh_ ng? – _ h_ _ g, tôi k_ _ n_  biết đánh _ u ; Bạn có thể đánh đu không? – Không, tôi không biết đánh đu
Tiếng Anh Lớp 3(Tập 2) :: Page 36: review 1: activity1: Listen and tick::_ _ an_  36: Ôn tập 1: H_ _ t động 1: Nghe _ à tích ; Trang 36: Ôn tập 1: Hoạt động 1: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1. Good night Nam - Good night Linda::1. C_ ú_  Na_  ngủ _ gon – C_ úc _ in_ a ngủ ngon ; 1. Chúc Nam ngủ ngon – Chúc Linda ngủ ngon
Tiếng Anh Lớp 3(Tập 2) :: 2. What's your name? - My name's Tony::2. Tê_  bạn là gì? – Tên tôi là To_ _  ; 2. Tên bạn là gì? – Tên tôi là Tony
Tiếng Anh Lớp 3(Tập 2) :: What nationality are you? - I'm Australian::_ uốc tịch của bạn _ à gì? – _ ôi là người Úc ; Quốc tịch của bạn là gì? – Tôi là người Úc
Tiếng Anh Lớp 3(Tập 2) :: 3. Good morning class - Good morning Mr Luck::3. Chà_  buổi _ áng cả lớp – C_ ào buổi sáng thầy Luck ; 3. Chào buổi sáng cả lớp – Chào buổi sáng thầy Luck
Tiếng Anh Lớp 3(Tập 2) :: What day is it today? - It's Thursday::H_ m _ _ y là ngà_  _ ì? – L_  thứ 5 ạ ; Hôm nay là ngày gì? – Là thứ 5 ạ
Tiếng Anh Lớp 3(Tập 2) :: 4. What's your birthday? - It's on the 5th of September::4. Si_ _  _ h_ t của bạn _ _  n_ ày n_ o? – N_  _ à và_  ngày 5 thá_ g 9 ; 4. Sinh nhật của bạn là ngày nào? – Nó là vào ngày 5 tháng 9
Tiếng Anh Lớp 3(Tập 2) :: 5. Who's that? - It's my brother- What can he do? - He can ride a bike::5. A_  _ _ y? – Là a_ h _ rai tô_  đấ_  – An_  ấy có _ hể làm gì? – Anh ấy biết đ_ p xe ; 5. Ai đấy? – Là anh trai tôi đấy – Anh ấy có thể làm gì? – Anh ấy biết đạp xe
Tiếng Anh Lớp 3(Tập 2) :: Page 38: Short story: Cat and Mouse::Trang 38: Câu _ huy_ n ngắn: Mèo và Chuột ; Trang 38: Câu chuyện ngắn: Mèo và Chuột
Tiếng Anh Lớp 3(Tập 2) :: Part 1: Activity 1: Read and listen to the story: Do you remember?::P_ ần 1: H_ ạt độn_  1: Đọc và nghe câu chuy_ n: Bạn có nhớ k_ ông? ; Phần 1: Hoạt động 1: Đọc và nghe câu chuyện: Bạn có nhớ không?
Tiếng Anh Lớp 3(Tập 2) :: Hello? I'm Miu the cat - Hello? I'm Chit the mouse, and this is my sister Mimi::Xin c_ ào? Tôi là chú mèo Miu – Xin c_ ào? Tôi là ch_ ột Chít, và đây là em tôi Mimi ; Xin chào? Tôi là chú mèo Miu – Xin chào? Tôi là chuột Chít, và đây là em tôi Mimi
Tiếng Anh Lớp 3(Tập 2) :: And those are my friends Morris and Dorris::Và đây _ à _ ác bạn _ ủa _ ôi Morris _ _  _ orris ; Và đây là các bạn của tôi Morris và Dorris
Tiếng Anh Lớp 3(Tập 2) :: Hello? - Hello? - Who are you?::X_ n chào? – Xi_  _ _ ào? – Bạn là a_ ? ; Xin chào? – Xin chào? – Bạn là ai?
Tiếng Anh Lớp 3(Tập 2) :: My name's Marrie, is this Chit's house?- Yes it is::_ ên tôi _ à _ arrie, đây có phải là nhà của _ hít kh_ ng? – _ úng _ _ i ; Tên tôi là Marrie, đây có phải là nhà của Chít không? – Đúng rồi
Tiếng Anh Lớp 3(Tập 2) :: Hello Marrie? - Hello Chit, How are you? I'm very well thank you::C_ _ o _ arie ?- _ hào _ hít, _ hị _ hế nào? Chị _ ẫn k_ ỏ_ , cảm ơ_  em ; Chào Marie ?- Chào Chít, chị thế nào? Chị vẫn khỏe, cảm ơn em
Tiếng Anh Lớp 3(Tập 2) :: Miu, this is my cousin Marrie - Nice to meet you Marrie- Nice to meet you too, Miu::Mi_ , đây là e_  họ tô_ , Mar_ ie. Rất v_ i được g_ p b_ n, Ma_ i_ . Rấ_  vui được gặ_  b_ n, M_ _  ; Miu, đây là em họ tôi, Marrie. Rất vui được gặp bạn, Marie. Rất vui được gặp ban, Miu
Tiếng Anh Lớp 3(Tập 2) :: Where are you from Marrie? - I'm from America::Bạn _ _  đâu _ ến Ma_ ie? – _ ôi đến _ ừ Mỹ ; Bạn từ đâu đến Marie? – Tôi đến từ Mỹ
Tiếng Anh Lớp 3(Tập 2) :: Really? Where in America? - New York::_ h_ _  ư? Nơi _ ào ở Mỹ? – _ _ w York ; Thật ư? Nơi nào ở Mỹ? – New York
Tiếng Anh Lớp 3(Tập 2) :: Can you play the guitar? - Yes I can::Bạn có biết chơi guitar khô_ g? - _ _  tô_  biết ; Bạn có biết chơi guitar không? - Có tôi biết
Tiếng Anh Lớp 3(Tập 2) :: Can you play the guitar too? - No i can't::Còn b_ n có bi_ t không? – Không, _ ôi không _ i_ _  ; Còn bạn có biết không? – Không, tôi không biết
Tiếng Anh Lớp 3(Tập 2) :: But i can play the piano - Great, let's play::Nhưng tô_  có thể _ hơi pi_ no – Tuyệt, _ ùn_  _ h_ _  nào ; Nhưng tôi có thể chơi piano – Tuyệt, cùng chơi nào
Tiếng Anh Lớp 3(Tập 2) :: Page 39: Activity 2: Complete the conversation::Trang 39: Hoạt _ ộng 2: Hoà_  thành đo_ n hội tho_ i ; Trang 39: Hoạt động 2: Hoàn thành đoạn hội thoại
Tiếng Anh Lớp 3(Tập 2) :: Hello? - Hello? - Who are you?::X_ n _ hà_ ? – Xin ch_ _ ? – Bạn là a_ ? ; Xin chào? – Xin chào? – Bạn là ai?
Tiếng Anh Lớp 3(Tập 2) :: My name's Marrie, is this Chit's house?- Yes it is::Tên tôi là M_ rri_ , đây _ _  phải l_  nhà c_ a Chít _ h_ _ g? – Đún_  rồi ; Tên tôi là Marrie, đây có phải là nhà của Chít không? – Đúng rồi
Tiếng Anh Lớp 3(Tập 2) :: Hello Marrie? - Hello Chit, How are you? I'm very well thank you::_ hào Ma_ ie ?- _ hào Ch_ t, ch_  thế nào? Chị v_ n khỏe, cảm _ n em ; Chào Marie ?- Chào Chít, chị thế nào? Chị vẫn khỏe, cảm ơn em
Tiếng Anh Lớp 3(Tập 2) :: Page 40: Unit 6: Where's your school?::TR_ ng 40: Bài 6: Tr_ ờng của b_ n ở đ_ _ ? ; TRang 40: Bài 6: Trường của bạn ở đâu?
Tiếng Anh Lớp 3(Tập 2) :: Lesson 1: Activity 1: Look, listen and repeat::_ ài 1: Ho_ _  động 1: Nhìn, nghe _ à n_ ắc l_ _  ; Bài 1: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. This is my cousin Jack, He's in London::A. Đây là _ n_  họ tôi, Jack, _ _ h sống ở _ ond_ n ; A. Đây là anh họ tôi, Jack, anh sống ở London
Tiếng Anh Lớp 3(Tập 2) :: Hello Jack, Nice to meet you, I'm Phong::Chào Jack, _ ất _ ui đư_ _  gặp bạn, _ _ i là P_ _ _ g ; Chào Jack, rất vui được gặp bạn, tôi là Phong
Tiếng Anh Lớp 3(Tập 2) :: Nice to meet you too Phong::_ ất vui _ _ ợc gặp bạn, Ph_ ng ; Rất vui được gặp bạn, Phong
Tiếng Anh Lớp 3(Tập 2) :: B. Phong and i study in the same school::B. _ _ on_  và em học cùng trường ; B. Phong và em học cùng trường
Tiếng Anh Lớp 3(Tập 2) :: What's the name of your school? - Nguyen Du primary school::_ rườ_ g em tên là gì? – _ rường ti_ u học Nguy_ n _ u ; Trường em tên là gì? – Trường tiểu học Nguyễn Du
Tiếng Anh Lớp 3(Tập 2) :: C. Where's your school? - It's in the Nguyen Du street in Hanoi::_ . T_ ườn_  của _ _  ở đâu? - _  đường Nguyễn Du Hà Nội ; C. Trường của em ở đâu? - Ở đường Nguyễn Du Hà Nội
Tiếng Anh Lớp 3(Tập 2) :: D. What about you Jack? What's the name of your school?::D. _ _ n bạn thì sao vậy Jack? Tên t_ ườ_ g bạn l_  gì? ; D. Còn bạn thì sao vậy Jack? Tên trường bạn là gì?
Tiếng Anh Lớp 3(Tập 2) :: Oxford primary school, It's in Oxford street::TRườ_ g tiểu học O_ f_ rd trên phố Oxford ; TRường tiểu học Oxford trên phố Oxford
Tiếng Anh Lớp 3(Tập 2) :: Page 40 Activity 2: Point and say::T_ a_ g 40: _ _ ạ_  độ_ g 2: Chỉ và nói ; Trang 40: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: Where's your school? - It's in Oxford street::Trường bạn ở _ âu? – Nó ở phố _ _ _ ord ; Trường bạn ở đâu? – Nó ở phố Oxford
Tiếng Anh Lớp 3(Tập 2) :: A. Oxford street. B. Hoa Binh road::_ . _ hố Oxford B. Đường Hòa Bình ; A. Phố Oxford B. Đường Hòa Bình
Tiếng Anh Lớp 3(Tập 2) :: C. Bat Trang Village D. Hoan Kiem District::B. _ àng Bát trà_ g D. q_ ận _ oàn K_ _ _  ; B. Làng Bát tràng D. quận Hoàn Kiếm
Tiếng Anh Lớp 3(Tập 2) :: Page 41: Activity 3: Listen and tick::Trang 41: Hoạ_  động 3: _ g_ _  và tích ; Trang 41: Hoạt động 3: Nghe và tích
Tiếng Anh Lớp 3(Tập 2) :: 1. Where is your school? - It's in Nguyen Hue street::1. Trườ_ g bạn ở _ âu? – Nó ở ph_  N_ uyễn Huệ ; 1. Trường bạn ở đâu? – Nó ở phố Nguyễn Huệ
Tiếng Anh Lớp 3(Tập 2) :: Is it in Hanoi? - No it isn't, It's in Nam Dinh::C_  phải nó ở _ à Nội _ hô_ g? – Kh_ ng, _ ó ở Nam đị_ _  ; Có phải nó ở Hà Nội không? – Không, nó ở Nam định
Tiếng Anh Lớp 3(Tập 2) :: 2.What's the name of your school? - Bat Trang Primary school::2. Tên trườn_  bạn là gì? – Trường tiểu họ_  Bá_  Tràng ; 2. Tên trường bạn là gì? – Trường tiểu học Bát Tràng
Tiếng Anh Lớp 3(Tập 2) :: Where is it? - It's in Bat Trang Village::Nó ở đâu? – N_  ở làng Bá_  _ ràn_  ; Nó ở đâu? – Nó ở làng Bát tràng
Tiếng Anh Lớp 3(Tập 2) :: 3. my school is big and beautiful? - Where is it?::3. Trườ_ g tôi r_ t l_ _  và đẹ_ ? – Nó _  đ_ u? ; 3. Trường tôi rất lớn và đẹp? – Nó ở đâu?
Tiếng Anh Lớp 3(Tập 2) :: It's in Oxford street London::4. Nó _  phố _ xf_ rd Lo_ do_  ; 4. Nó ở phố Oxford London
Tiếng Anh Lớp 3(Tập 2) :: Page 41: Activity 5: Let's sing: This is the way::Trang 41: H_ ạ_  _ ộng 5: Cùng hát: _ _ _  _ à lối ; Trang 41: Hoạt động 5: Cùng hát: Đây là lối
Tiếng Anh Lớp 3(Tập 2) :: this is the way we go to school, go to school, go to school::Đây l_  _ _ i chúng t_ _  _ _  _ ới trư_ ng, đ_  t_ _  tr_ ờng, đi tới _ rường ; Đây là lối chúng tôi đi tới trường, đi tới trường, đi tới trường
Tiếng Anh Lớp 3(Tập 2) :: this is the way we go to school so early in the morning::Đây _ à lố_  c_ úng _ ôi đi tới trườn_  mỗi bu_ i sáng _ ớm ; Đây là lối chúng tôi đi tới trường mỗi buổi sáng sớm
Tiếng Anh Lớp 3(Tập 2) :: this is the way we go for a walk, go for a walk, go for a walk::_ ây là lối _ húng tôi _ _  dạo, _ i dạo, đi d_ _  ; Đây là lối chúng tôi đi dạo, đi dạo, đi dạo
Tiếng Anh Lớp 3(Tập 2) :: this is the way we go for a walk, so early in the morning::_ â_  _ à lối ch_ _ g _ ôi đ_  dạo _ _ i _ uổi s_ _ _  sớm ; Đây là lối chúng tôi đi dạo mỗi buổi sáng sớm
Tiếng Anh Lớp 3(Tập 2) :: PAge 42: Lesson 2: ACtivity 1: Look, listen and repeat::_ r_ n_  42: Bài 2: Hoạt độn_  1: _ h_ n, ng_ e v_  n_ ắ_  _ ại ; Trang 42: Bài 2: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Hello Phong? Where are you going? - I'm going to school, Judy::A. _ _ ào P_ ong? Bạn _ i đâ_  vậy? – T_ i đi t_ i trường, Judy ạ ; A. Chào Phong? Bạn đi đâu vậy? – Tôi đi tới trường, Judy ạ
Tiếng Anh Lớp 3(Tập 2) :: B. Where's your school? - It's in Nguyen Du street::B. Trường b_ n ở _ âu? – Nó ở tr_ n phố N_ _ yễn Du ; B. Trường bạn ở đâu? – Nó ở trên phố Nguyễn Du
Tiếng Anh Lớp 3(Tập 2) :: C. What class are you in? - I'm in class 4A::C. Bạn ở _ ớ_  n_ o? – Tôi ở lớp 4A ; C. Bạn ở lớp nào? – Tôi ở lớp 4A
Tiếng Anh Lớp 3(Tập 2) :: Page 42: ACtivity 2: Point and say::_ rang 42: Hoạt động 2: Chỉ v_  nói ; Trang 42: Hoạt động 2: Chỉ và nói
Tiếng Anh Lớp 3(Tập 2) :: What class are you in? - I'm in class 4A::B_ n ở lớp nào? – T_ i _  lớp 4_  ; Bạn ở lớp nào? – Tôi ở lớp 4A
Tiếng Anh Lớp 3(Tập 2) :: What class is she in? - She's in class 5B::Cậ_  ấy ở lớp nào – Cậu ấy ở l_ p 5B ; Cậu ấy ở lớp nào – Cậu ấy ở lớp 5B
Tiếng Anh Lớp 3(Tập 2) :: Page 43: Activity 4: Listen and number::Trang 43: Hoạ_  _ ộng 4: _ ghe v_  đ_ nh số ; Trang 43: Hoạt động 4: nghe và đánh số
Tiếng Anh Lớp 3(Tập 2) :: 1 Where's your school Linda? - It's in South street London::1. Trườ_ _  bạn ở đâu _ ậ_  Linda? – N_  ở ph_  Bắc London ; 1. Trường bạn ở đâu vậy Linda? – Nó ở phố Bắc London
Tiếng Anh Lớp 3(Tập 2) :: What's the name of your school? - It's Sunflower primary school::_ ê_  trườn_  b_ n là gì? Trườ_ _  tiể_  _ ọc Hư_ _ g D_ _ ng ; Tên trường bạn là gì? Trường tiểu học Hướng Dương
Tiếng Anh Lớp 3(Tập 2) :: 2. What class are you in? - I'm in class 4C::2. B_ _  ở _ ớp _ ào? – Tô_  ở l_ p 4C ; 2. Bạn ở lớp nào? – Tôi ở lớp 4C
Tiếng Anh Lớp 3(Tập 2) :: Sorry, 4D or 4C - Class 4C - Oh, I see::Xin _ ỗ_ , 4D, h_ y 4C – Lớp 4C - Ồ, tôi thấy rồi ; Xin lỗi, 4D, hay 4C – Lớp 4C - Ồ, tôi thấy rồi
Tiếng Anh Lớp 3(Tập 2) :: 3. What's the name of your school? - It's Nguyen Hue primary school::3. _ ên trường bạn _ à g_ ?- _ à tr_ ờng tiểu học Ng_ yễn Huệ ; 3. Tên trường bạn là gì?- Là trường tiểu học Nguyễn Huệ
Tiếng Anh Lớp 3(Tập 2) :: Where is it? - It's in Nguyen Hue street, Hoan Kiem District, Hanoi::Nó ở _ â_ ? – Nó ở trên p_ ố Nguyễ_  Huệ, quận _ oàn Kiế_ , _ _  n_ i ; Nó ở đâu? – Nó ở trên phố Nguyễn Huệ, quận Hoàn Kiếm, Hà nội
Tiếng Anh Lớp 3(Tập 2) :: 4. Where's your school, Phong? - It's in Nguyen Du street::4. _ _ _ ờn_  Phong ở đâu? – Nó ở p_ ố _ _ uyễn Du ; 4. Trường Phong ở đâu? – Nó ở phố Nguyễn Du
Tiếng Anh Lớp 3(Tập 2) :: What's class are you in? - I'm in class 4A::Bạn ở lớp nào? – T_ i ở lớp 4A ; Bạn ở lớp nào? – Tôi ở lớp 4A
Tiếng Anh Lớp 3(Tập 2) :: Page 44: Lesson 3: activity 1: Listen and repeat::Trang 44: Bài 3: Hoạt _ ộ_ g 1: Ng_ e và nhắc lại ; Trang 44: Bài 3: Hoạt động 1: Nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: Sk - School This is our school::Sk – School Đây là _ rư_ n_  của chúng tôi ; Sk – School Đây là trường của chúng tôi
Tiếng Anh Lớp 3(Tập 2) :: Sk - Skipping Mai likes skipping::Sk – Sk_ pping M_ i _ hích _ ật nh_ y ; Sk – Skipping Mai thích bật nhảy
Tiếng Anh Lớp 3(Tập 2) :: Str- Street My school is in Nguyen Du street::St_  – Stre_ _  Tr_ _ ng tôi ở trên phố Nguyễ_  Du ; Str – Street Trường tôi ở trên phố Nguyễn Du
Tiếng Anh Lớp 3(Tập 2) :: Page 44: Activity 2: Listen and circle then write and say aloud::Trang 44: Hoạt động 2: Ngh_  và khoan_  tr_ _  rồi vi_ t _ à đọc to ; Trang 44: Hoạt động 2: Nghe và khoanh tròn rồi viết và đọc to
Tiếng Anh Lớp 3(Tập 2) :: 1. This is the street::1. Đ_ y _ à _ on ph_  ; 1. Đây là con phố
Tiếng Anh Lớp 3(Tập 2) :: 2. The street is beautiful::2. Một con ph_  rất đẹp ; 2. Một con phố rất đẹp
Tiếng Anh Lớp 3(Tập 2) :: 3. The street is long::3. M_ t con p_ ố rất d_ i ; 3. Một con phố rất dài
Tiếng Anh Lớp 3(Tập 2) :: 4. I love my school::4. _ _ i y_ u tr_ _ ng t_ _  ; 4. Tôi yêu trường tôi
Tiếng Anh Lớp 3(Tập 2) :: 5. Linda likes skating::5. Lin_ a _ h_ ch _ rượt ván ; 5. Linda thích trượt ván
Tiếng Anh Lớp 3(Tập 2) :: Page 44: Activity 3: Let's chant: School school school::T_ _ _ g 44: Ho_ t độn_  3: _ ù_ g _ ọc van_ : Tr_ ờ_ _ , t_ ư_ ng trường ; Trang 44: Hoạt động 3: Cùng đọc vang: Trường, trường trường
Tiếng Anh Lớp 3(Tập 2) :: One two three four School school school this is the way we go to school::1,2,3,4 _ rư_ _ g trườn_  trường đ_ y là lối ta tới _ _ ường ; 1,2,3,4 Trường trường trường đây là lối ta tới trường
Tiếng Anh Lớp 3(Tập 2) :: It's so much fun street street street this is the way we walk on the street, It's so much fun::Thật vui làm s_ o những con p_ ố, p_ _ , phố _ _ y l_  l_ i _ húng _ a đi tới tr_ ờ_ g, thật v_ i sa_  ; Thật vui làm sao những con phố, phố, phố Đây là lối chúng ta đi tới trường, thật vui sao
Tiếng Anh Lớp 3(Tập 2) :: Page 46: Unit 7: What do you like doing?::_ _ _ n_  46: B_ _  7: Bạn th_ ch là_  _ ì? ; Trang 46: Bài 7: Bạn thích làm gì?
Tiếng Anh Lớp 3(Tập 2) :: Lesson 1: Activity 1: Look, listen and repeat::Bà_  1: Hoạt độn_  1: Nhìn, nghe và n_ ắc lại ; Bài 1: Hoạt động 1: Nhìn, nghe và nhắc lại
