00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
14350	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with one verb form from each pair. Sometimes both are possible.	{{c1::Convinced}} of her innocence, we campaigned to get her released from prison.	Having arrived – Arriving;Having chopped – Chopping;Climbing – Having climbed;Having come – Coming;Having convinced – Convinced;Having inhabited – Inhabited;Kept – Keeping;Living – Having lived;Making – Being made;Offending – Offended;having been overlooked – being overlooked;Parking – Having parked
14360	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with one verb form from each pair. Sometimes both are possible.	The garden wasn't very private, {{c1::being overlooked}} by a block of flats.	Having arrived – Arriving;Having chopped – Chopping;Climbing – Having climbed;Having come – Coming;Having convinced – Convinced;Having inhabited – Inhabited;Kept – Keeping;Living – Having lived;Making – Being made;Offending – Offended;having been overlooked – being overlooked;Parking – Having parked
14370	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with one verb form from each pair. Sometimes both are possible.	{{c1::Having come}} last in the 10,000 metres, Thompson decided to retire from athletics.	Having arrived – Arriving;Having chopped – Chopping;Climbing – Having climbed;Having come – Coming;Having convinced – Convinced;Having inhabited – Inhabited;Kept – Keeping;Living – Having lived;Making – Being made;Offending – Offended;having been overlooked – being overlooked;Parking – Having parked
14380	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with one verb form from each pair. Sometimes both are possible.	{{c1::Chopping}} some vegetables in the kitchen, I cut my finger badly.	Having arrived – Arriving;Having chopped – Chopping;Climbing – Having climbed;Having come – Coming;Having convinced – Convinced;Having inhabited – Inhabited;Kept – Keeping;Living – Having lived;Making – Being made;Offending – Offended;having been overlooked – being overlooked;Parking – Having parked
14390	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with one verb form from each pair. Sometimes both are possible.	{{c1::Offended}} by his rudeness, I asked him not to leave comments on my blog again.	Having arrived – Arriving;Having chopped – Chopping;Climbing – Having climbed;Having come – Coming;Having convinced – Convinced;Having inhabited – Inhabited;Kept – Keeping;Living – Having lived;Making – Being made;Offending – Offended;having been overlooked – being overlooked;Parking – Having parked
14400	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Warned not}} to go anywhere near the dogs, she stayed well away from them.	Warned not;Not warned
14410	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Not being}} able to speak Italian, I had to depend on Giovanni when I went to Florence.	Being not;Not being
14420	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Preferring not}} to walk home alone in the dark, I asked Helen if she could give me a lift.	Preferring not;Not preferring
14430	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Not prepared}} to wait any longer, she went up to the receptionist and demanded to see the doctor immediately.	Prepared not;Not prepared
14440	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Pretending not}} to listen to their conversation, I took out my mobile and started texting.	Pretending not;Not pretending
14450	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Relieved not}} to have been asked to give a speech at the wedding, Ed was able to relax and enjoy himself.	Relieved not;Not relieved
14460	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Not having}} got a university degree, I found it difficult to get a job.	Having not;Not having
14470	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Not being}} satisfied with her playing, she decided to get some advice from a golf professional.	Being not;Not being
14480	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Trying not}} to wake the children, she crept quietly down the stairs.	Trying not;Not trying
14490	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Not feeling}} too well, she decided to leave work early.	Feeling not;Not feeling
14500	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Not pausing}} even to take his coat off, he came in through the front door and sat down in front of the TV.	Pausing not;Not pausing
14510	Unit 58: Participle clauses with adverbial meaning 1	Complete the sentences with the correct or more appropriate beginning.	{{c1::Determined not}} to be distracted by his mobile ringing, James went on with his story.	Determined not;Not determined
14520	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::On entering}} the dining room, he saw all the other guests already seated around the large table. (<i>On</i> / <i>Since</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14530	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::Through halving}} the amount of meat and animal produce you eat, they reckon you can reduce the risk of suffering a heart attack by 45%. (<i>While</i> / <i>Through</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14540	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::By stretching}} out my arm, I could just reach the light switch from my bed. (<i>Since</i> / <i>By</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14550	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::After undergoing}} surgery on both knees, he had to stay in hospital for three weeks. (<i>After</i> / <i>With</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14560	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::On seeing}} me, she looked down and walked by quickly. (<i>Before</i> / <i>On</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14570	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::While recognising}} the dangers of locating the power station so close to the town, the government claims that there is no other suitable site. (<i>On</i> / <i>While</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14580	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::Besides developing}} online games, Drexcol has also launched several applications for mobile phones. (<i>Besides</i> / <i>Without</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14590	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::With}} Philip {{c1::snoring}} in the room next door all night, I didn't sleep a wink. (<i>With</i> / <i>After</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14600	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::Since graduating}} from Shanghai College of Art in 2008, Jenny Wang has been a professional photographer. (<i>Since</i> / <i>While</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14610	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::Before making}} a decision, she discussed the matter with all the senior managers in the company. (<i>By</i> / <i>Before</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14620	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::Whilst lifting}} the heavy box, Charles damaged some muscles in his back. (<i>Whilst</i> / <i>Besides</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14630	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a preposition from the brackets at the end of the sentence and a word from the list.	{{c1::Without realising}} it, I had accidentally downloaded a virus. (<i>In</i> / <i>Without</i>)	developing;entering;graduating;halving;lifting;making;realising;recognising;seeing;snoring;stretching;undergoing
14640	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::When in Paris}}, you should go up the Eiffel Tower.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14650	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::As demonstrated in Iceland}}, it is possible to grow fruit in winter with sufficient levels of heating.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14660	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::When not in use}}, the bicycle can be folded up and put in the boot of a car.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14670	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::Whenever possible}}, I try to get a seat by the window when I fly.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14680	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::As if hit by a bullet}}, Natalie suddenly dropped to the floor.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14690	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::While in hospital}}, she kept herself occupied by doing Sudoku.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14700	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::Until overtaken on the last lap}}, Hamilton had led the race from the start.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14710	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::Although normally a very good dancer}}, he kept treading on my toes.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14720	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::If untreated}}, typhoid can kill.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14730	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::If convicted}}, he faces a prison sentence of 30 years.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14740	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::Unless specifically told to rest}}, most patients recovering from operations should take regular exercise.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14750	Unit 59: Participle clauses with adverbial meaning 2	Complete the sentences. Use a reduced form of one of the clauses from the list.	{{c1::Using Skype}}, we can talk easily to relatives in Canada.	If it is untreated;Although he is normally a very good dancer;If he is convicted;Because we use Skype;When it is not in use;Unless they are specifically told to rest;When you are in Paris;As it has been demonstrated in Iceland;Whenever it is possible;Until he was overtaken on the last lap;While she was in hospital;As if she had been hit by a bullet
14760	What can I practise here?	Complete the sentences. Choose all possible correct answers.	The children {{c1::behaved / behaved themselves}} very well on the school trip and the head teacher congratulated them all.	behaved itself;behaved;behaved themselves;behaved them
14770	What can I practise here?	Complete the sentences. Choose all possible correct answers.	We only had an hour for 100 questions in the maths exam, so I did {{c1::the easiest ones}} first and kept {{c1::the difficult ones}} to the end. / We only had an hour for 100 questions in the maths exam, so I did {{c1::the easiest}} first and kept {{c1::the difficult ones}} to the end.	the easiest ones ... the difficult ones;the easiest ones ... the difficult;the easiest ... the difficult ones;the easiest ... the difficult
14780	What can I practise here?	Complete the sentences. Choose all possible correct answers.	<b>A</b>: Will Dan be coming on holiday with us?<br /><b>B</b>: {{c1::I expect that he will / I imagine so}}.	I expect that he will;I doubt so;I'm certain so;I imagine so
14790	What can I practise here?	Complete the sentences. Choose all possible correct answers.	The house would cost around €500,000, but I knew that {{c1::an amount like that / such an amount}} would be difficult to borrow from the bank.	a such amount;such amount;an amount like that;such an amount
14800	What can I practise here?	Complete the sentences. Choose all possible correct answers.	<b>A</b>: Have you got any tickets left for tonight’s concert?<br /><b>B</b>: No, I'm afraid we {{c1::haven't / don't}}.	haven't got;didn't;haven't;don't
14810	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I think you should buy the car if you {{c1::can afford to / want to}}.	can afford;can afford to;want to;like to
14820	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	On long train journeys my mother {{c1::occupies herself with}} crosswords.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14830	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	She knew that the company was going to make staff redundant, and when her boss sent for her she {{c1::prepared herself}} to hear some bad news.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14840	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	You can't just decide to {{c1::absent yourself from}} school because you're feeling tired.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14850	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	To make the most of the smartphone, it is important to {{c1::familiarise yourself with}} all of its many features.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14860	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	He found it difficult to {{c1::adapt himself to}} working in the banking sector in London, and moved back to Italy after only a year.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14870	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	He was late, so he hurried to the bathroom, {{c1::washed himself}} quickly, and dashed downstairs.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14880	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	Guests and visitors alike can {{c1::avail themselves of}} the excellent facilities that the hotel offers.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14890	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	A recent issue of <i>Science in the World</i> {{c1::concerned itself with}} developments in tidal power.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14900	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	Try to understand the general points, but don't {{c1::trouble yourself with / trouble yourself with / concern yourself with}} the details for the moment.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14910	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	When their mother called them in for dinner, Maya and Maxine {{c1::hid themselves}} behind some bushes at the bottom of the garden.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14920	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	While we were waiting for the taxi to arrive, we {{c1::busied ourselves / busied ourselves with / occupied ourselves with}} checking that we had tickets and passports.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14930	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Complete the sentences. Use an appropriate form of a verb from the list followed by a reflexive pronoun and, if necessary, a preposition.	Martha {{c1::prides herself on / prided herself on}} her cooking, and was quite upset when Paul said he didn't want anything to eat.	absent;adapt;avail;busy;concern;familiarise;hide;occupy;prepare;pride;trouble;wash
14940	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	Visitors to the old part of the city could easily {{c1::lose themselves}} <u>lose himself</u> in the maze of small streets.	choiceA;ChoiceB
14950	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	Ken had broken his wrist and wasn't able {{c1::to shave himself}} <u>to shave himself</u> properly.	choiceA;ChoiceB
14960	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	He stared at the exam paper in front {{c1::of him}} <u>of himself</u> and his mind went blank.	choiceA;ChoiceB
14970	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	When you leave don't forget to lock the door {{c1::after you}} <u>after yourself</u>.	choiceA;ChoiceB
14980	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	We played word games {{c1::to amuse ourselves}} <u>to amuse us</u> while we were waiting.	choiceA;ChoiceB
14990	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	She walked alone through the countryside, {{c1::singing to herself}} <u>singing to herself</u>.	choiceA;ChoiceB
15000	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	<b>A</b>: We're going out now.<br /><b>B</b>: Okay. Take care of {{c1::yourselves}} <u>you</u>.	choiceA;ChoiceB
15010	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	We've just moved into our new house, but once we've {{c1::got ourselves organised}} <u>got ourselves organised</u> you must come round to dinner.	choiceA;ChoiceB
15020	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	When he won £1,000 on the lottery, he kept 200 {{c1::for himself}} <u>for him</u> and gave the rest to his father.	choiceA;ChoiceB
15030	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	I don't know who was more nervous – {{c1::the interviewer or me}} <u>the interviewer or myself</u>.	choiceA;ChoiceB
15040	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	There was no one in when she got home, so she {{c1::made herself}} <u>made her</u> a cup of tea and sat down to watch the TV.	choiceA;ChoiceB
15050	Unit 60: Reflexive pronouns: <i>herself</i>, <i>himself</i>, <i>themselves</i>, etc.	Are the underlined phrases correct? If not, correct them.	She felt that she'd done badly in the exam and was {{c1::annoyed with herself}} <u>annoyed with herself</u> for not doing more revision.	choiceA;ChoiceB
15060	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	I asked the taxi driver to take me to the railway station, but he took me to the bus {{c1::station}} <u>station</u> instead.	choiceA;ChoiceB
15070	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	The proposal on education put forward by the government is a very interesting {{c1::one}} <u>proposal</u>.	choiceA;ChoiceB
15080	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	Very few applicants for the job got interviews, but Carmen was one of the lucky {{c1::ones}} <u>applicants</u>.	choiceA;ChoiceB
15090	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	The exam had been a difficult {{c1::one}} <u>exam</u> so I didn't expect to get a good mark.	choiceA;ChoiceB
15100	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	I'll never forget the advice my father gave me when I left home. It was the most useful {{c1::advice}} <u>advice</u> I've ever had.	choiceA;ChoiceB
15110	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	The elections for the city council will be won and lost not just on local issues, but also national {{c1::ones}} <u>issues</u>.	choiceA;ChoiceB
15120	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	A lot of people have replied to the advert I posted online. In fact, three {{c1::people}} <u>people</u> have emailed already this morning.	choiceA;ChoiceB
15130	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	<b>A</b>: Shall I take this box through to the kitchen?<br /><b>B</b>: Yes, please, and can you take this {{c1::one}} <u>box</u>, too?	choiceA;ChoiceB
15140	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	I really wanted Chinese tea, but they only had Indian {{c1::tea}} <u>tea</u>.	choiceA;ChoiceB
15150	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	Before starting the difficult questions, we'll work slowly through some of the easier {{c1::ones}} <u>questions</u>.	choiceA;ChoiceB
15160	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	She phoned the police department, and they put her through to the fire {{c1::department}} <u>department</u> by mistake.	choiceA;ChoiceB
15170	Unit 61: <i>One</i> and <i>ones</i>	If possible, change the underlined words to <i>one</i> or <i>ones</i>.	Minor ear infections can usually be treated with antibiotics, but more serious {{c1::ones}} <u>ear infections</u> may even require surgery.	choiceA;ChoiceB
15180	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	The boy arranged his toy cars in order, with the biggest {{c1::(ones)}} at the front.	one;ones;(one);(ones)
15190	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	When I opened up the box of chocolates, I found that every {{c1::one}} had got a nut inside – and I don't like nuts!	one;ones;(one);(ones)
15200	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	He's got a job in a post office – the {{c1::one}} near the art gallery.	one;ones;(one);(ones)
15210	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	I think this updated translation app is even better than the last {{c1::(one)}}.	one;ones;(one);(ones)
15220	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	Can you get some more apples when you go shopping? Those {{c1::(ones)}} I bought on Saturday tasted awful.	one;ones;(one);(ones)
15230	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	There have been a lot of accidents on this section of road recently, and in the most serious {{c1::(one)}} three people were killed.	one;ones;(one);(ones)
15240	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	I'll wear my old shoes while I'm walking to the party, and when I get there I'll change into some smarter {{c1::ones}}.	one;ones;(one);(ones)
15250	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	There are a number of side effects of the medicine, the main {{c1::ones}} being nausea and weight gain.	one;ones;(one);(ones)
15260	Unit 61: <i>One</i> and <i>ones</i>	Complete the sentences. Put a pronoun from the box in the space. Use <i>one</i> or <i>ones</i> if the sentence is incorrect without the pronoun; use <i>(one)</i> or <i>(ones)</i> if the sentence is correct without the pronoun.	There are 25 classrooms in the school, each {{c1::(one)}} with an interactive whiteboard.	one;ones;(one);(ones)
